b7 b6 b5 b4 b3 b2 extra | m_20 m_19 m_18 m_17 m_16 m_15 m_14 m_13 m_12 m_11 m_10 m_9 m_8 m_7 m_6 m_5 m_4 m_3 m_2 m_1
0 0 1 0 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # or
0 0 1 0 0 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 # or
0 0 1 0 0 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # or
0 0 1 0 1 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 # or
0 0 1 0 1 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # or
0 0 1 0 1 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 # or
0 0 1 0 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # or
0 0 1 1 0 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 # or
0 0 1 1 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # or
0 0 1 1 0 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 # or
0 0 1 1 0 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # or
0 0 1 1 1 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 # or
0 0 1 1 1 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # or
0 0 1 1 1 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 # or
0 0 1 1 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # or
0 1 0 0 0 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 # load
0 1 0 0 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # load
0 1 0 0 0 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 # load
0 1 0 0 0 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # load
0 1 0 0 1 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 # load
0 1 0 0 1 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # load
0 1 0 0 1 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 # load
0 1 0 0 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # load
0 1 0 1 0 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 # load
0 1 0 1 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # load
0 1 0 1 0 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 # load
0 1 0 1 0 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # load
0 1 0 1 1 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 # load
0 1 0 1 1 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # load
0 1 0 1 1 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 # load
0 1 0 1 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # load
0 1 1 0 0 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 # save
0 1 1 0 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # save
0 1 1 0 0 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 # save
0 1 1 0 0 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # save
0 1 1 0 1 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 # save
0 1 1 0 1 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # save
0 1 1 0 1 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 # save
0 1 1 0 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # save
0 1 1 1 0 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 # save
0 1 1 1 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # save
0 1 1 1 0 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 # save
0 1 1 1 0 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # save
0 1 1 1 1 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 # save
0 1 1 1 1 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # save
0 1 1 1 1 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 # save
0 1 1 1 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # save
1 0 0 0 0 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 # not
1 0 0 0 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # not
1 0 0 0 0 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # not
1 0 0 0 0 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # not
1 0 0 0 1 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 # zero
1 0 0 0 1 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # zero
1 0 0 0 1 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 # one
1 0 0 0 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # one
1 0 0 1 0 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # ret
1 0 0 1 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # ret
1 0 0 1 0 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # ret
1 0 0 1 0 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # ret
1 0 0 1 1 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # ret
1 0 0 1 1 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # ret
1 0 0 1 1 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # ret
1 0 0 1 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # ret
1 0 1 0 0 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # out
1 0 1 0 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # out
1 0 1 0 0 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # out
1 0 1 0 0 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # out
1 0 1 0 1 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # out_inc
1 0 1 0 1 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # out_inc
1 0 1 0 1 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # out_dec
1 0 1 0 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # out_dec
1 0 1 1 0 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # in
1 0 1 1 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # in
1 0 1 1 0 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # in
1 0 1 1 0 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # in
1 0 1 1 1 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # in_inc
1 0 1 1 1 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # in_inc
1 0 1 1 1 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # in_dec
1 0 1 1 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # in_dec
1 1 0 0 0 0 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # in_from
1 1 0 0 0 0 1 | 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 # in_from
1 1 0 0 0 1 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # in_from
1 1 0 0 0 1 1 | 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 # in_from
1 1 0 0 1 0 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # out_to
1 1 0 0 1 0 1 | 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 # out_to
1 1 0 0 1 1 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # out_to
1 1 0 0 1 1 1 | 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 # out_to
1 1 0 1 0 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # call
1 1 0 1 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # call
1 1 0 1 0 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # call
1 1 0 1 0 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # call
1 1 0 1 1 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # call
1 1 0 1 1 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # call
1 1 0 1 1 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # call
1 1 0 1 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # call
1 1 1 0 0 0 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # jmpt
1 1 1 0 0 0 1 | 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 # jmpt
1 1 1 0 0 1 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # jmpt
1 1 1 0 0 1 1 | 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 # jmpt
1 1 1 0 1 0 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # jmpt
1 1 1 0 1 0 1 | 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 # jmpt
1 1 1 0 1 1 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # jmpt
1 1 1 0 1 1 1 | 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 # jmpt
1 1 1 1 0 0 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # jmp
1 1 1 1 0 0 1 | 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 # jmp
1 1 1 1 0 1 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # jmp
1 1 1 1 0 1 1 | 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 # jmp
1 1 1 1 1 0 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # jmp
1 1 1 1 1 0 1 | 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 # jmp
1 1 1 1 1 1 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 # jmp
1 1 1 1 1 1 1 | 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 # jmp
